ts,phase,amps_A,vbus_V,vshunt_V,amps_raw_A,sign_factor
1759599778.496,idle1,0.547900,5.012,-5.479000e-02,-0.547900,-1
1759599778.596,idle1,0.574000,5.020,-5.740000e-02,-0.574000,-1
1759599778.696,idle1,0.551800,5.024,-5.518000e-02,-0.551800,-1
1759599778.796,idle1,0.549600,5.016,-5.496000e-02,-0.549600,-1
1759599778.896,idle1,0.551700,4.996,-5.517000e-02,-0.551700,-1
1759599778.996,idle1,0.558700,4.968,-5.587000e-02,-0.558700,-1
1759599779.096,idle1,0.571200,4.964,-5.712000e-02,-0.571200,-1
1759599779.196,idle1,0.558300,4.972,-5.583000e-02,-0.558300,-1
1759599779.296,idle1,0.546700,4.936,-5.467000e-02,-0.546700,-1
1759599779.397,idle1,0.546800,4.948,-5.468000e-02,-0.546800,-1
1759599779.497,idle1,0.546600,4.936,-5.466000e-02,-0.546600,-1
1759599779.597,idle1,0.556500,4.964,-5.565000e-02,-0.556500,-1
1759599779.697,idle1,0.580900,4.948,-5.809000e-02,-0.580900,-1
1759599779.797,idle1,0.580800,4.972,-5.808000e-02,-0.580800,-1
1759599779.897,idle1,0.537000,4.968,-5.370000e-02,-0.537000,-1
1759599779.997,idle1,0.538400,5.024,-5.384000e-02,-0.538400,-1
1759599780.097,idle1,0.542900,5.008,-5.429000e-02,-0.542900,-1
1759599780.197,idle1,0.694200,4.988,-6.942000e-02,-0.694200,-1
1759599780.297,idle1,0.539400,5.012,-5.394000e-02,-0.539400,-1
1759599780.397,idle1,0.539500,5.004,-5.395000e-02,-0.539500,-1
1759599780.498,idle1,0.457500,4.972,-4.575000e-02,-0.457500,-1
1759599780.598,idle1,0.459400,4.992,-4.594000e-02,-0.459400,-1
1759599780.698,idle1,0.465100,5.024,-4.651000e-02,-0.465100,-1
1759599780.798,idle1,0.444900,5.036,-4.449000e-02,-0.444900,-1
1759599780.898,idle1,0.465900,5.028,-4.659000e-02,-0.465900,-1
1759599780.998,idle1,0.504500,5.016,-5.045000e-02,-0.504500,-1
1759599781.098,idle1,0.462500,5.044,-4.625000e-02,-0.462500,-1
1759599781.199,idle1,0.449900,5.040,-4.499000e-02,-0.449900,-1
1759599781.299,idle1,0.488900,5.028,-4.889000e-02,-0.488900,-1
1759599781.399,idle1,0.456700,5.056,-4.567000e-02,-0.456700,-1
1759599781.499,idle1,0.503000,5.040,-5.030000e-02,-0.503000,-1
1759599781.599,idle1,0.639600,5.028,-6.396000e-02,-0.639600,-1
1759599781.699,idle1,0.807600,4.996,-8.076000e-02,-0.807600,-1
1759599781.799,idle1,0.545200,5.040,-5.452000e-02,-0.545200,-1
1759599781.899,idle1,0.544900,5.044,-5.449000e-02,-0.544900,-1
1759599781.999,idle1,0.541600,5.044,-5.416000e-02,-0.541600,-1
1759599782.099,idle1,0.653300,5.028,-6.533000e-02,-0.653300,-1
1759599782.199,idle1,0.568400,5.036,-5.684000e-02,-0.568400,-1
1759599782.299,idle1,0.587400,5.008,-5.874000e-02,-0.587400,-1
1759599782.399,idle1,0.555800,5.040,-5.558000e-02,-0.555800,-1
1759599782.499,idle1,0.652300,5.032,-6.523000e-02,-0.652300,-1
1759599782.599,idle1,0.537300,5.044,-5.373000e-02,-0.537300,-1
1759599782.700,idle1,0.556300,5.032,-5.563000e-02,-0.556300,-1
1759599782.800,idle1,0.561800,5.036,-5.618000e-02,-0.561800,-1
1759599782.900,idle1,0.579700,5.036,-5.797000e-02,-0.579700,-1
1759599783.000,idle1,0.580000,5.028,-5.800000e-02,-0.580000,-1
1759599783.100,idle1,0.554600,5.044,-5.546000e-02,-0.554600,-1
