ts,phase,amps_A,vbus_V,vshunt_V,amps_raw_A,sign_factor
1759601762.636,idle1,0.650900,5.120,-6.509000e-02,-0.650900,-1
1759601762.637,idle1,0.584700,5.136,-5.847000e-02,-0.584700,-1
1759601762.638,idle1,0.542700,5.144,-5.427000e-02,-0.542700,-1
1759601762.639,idle1,0.634900,5.124,-6.349000e-02,-0.634900,-1
1759601762.640,idle1,0.546400,5.140,-5.464000e-02,-0.546400,-1
1759601762.641,idle1,0.549700,5.140,-5.497000e-02,-0.549700,-1
1759601762.642,idle1,0.584700,5.132,-5.847000e-02,-0.584700,-1
1759601762.643,idle1,0.570700,5.136,-5.707000e-02,-0.570700,-1
1759601762.644,idle1,0.591300,5.144,-5.913000e-02,-0.591300,-1
1759601762.645,idle1,0.554600,5.140,-5.546000e-02,-0.554600,-1
1759601762.646,idle1,0.555500,5.144,-5.555000e-02,-0.555500,-1
1759601762.647,idle1,0.548500,5.144,-5.485000e-02,-0.548500,-1
1759601762.648,idle1,0.554200,5.140,-5.542000e-02,-0.554200,-1
1759601762.649,idle1,0.568200,5.140,-5.682000e-02,-0.568200,-1
1759601762.650,idle1,0.571100,5.140,-5.711000e-02,-0.571100,-1
1759601762.651,idle1,0.589200,5.140,-5.892000e-02,-0.589200,-1
1759601762.652,idle1,0.567000,5.140,-5.670000e-02,-0.567000,-1
1759601762.653,idle1,0.559600,5.144,-5.596000e-02,-0.559600,-1
1759601762.654,idle1,0.554200,5.136,-5.542000e-02,-0.554200,-1
1759601762.655,idle1,0.546800,5.140,-5.468000e-02,-0.546800,-1
1759601762.656,idle1,0.565700,5.136,-5.657000e-02,-0.565700,-1
1759601762.657,idle1,0.539000,5.140,-5.390000e-02,-0.539000,-1
1759601762.658,idle1,0.564100,5.140,-5.641000e-02,-0.564100,-1
1759601762.659,idle1,0.582200,5.132,-5.822000e-02,-0.582200,-1
1759601762.660,idle1,0.570700,5.144,-5.707000e-02,-0.570700,-1
1759601762.661,idle1,0.552200,5.140,-5.522000e-02,-0.552200,-1
1759601762.662,idle1,0.553800,5.140,-5.538000e-02,-0.553800,-1
1759601762.663,idle1,0.560800,5.144,-5.608000e-02,-0.560800,-1
1759601762.664,idle1,0.547600,5.148,-5.476000e-02,-0.547600,-1
1759601762.665,idle1,0.573600,5.136,-5.736000e-02,-0.573600,-1
1759601762.666,idle1,0.554600,5.140,-5.546000e-02,-0.554600,-1
1759601762.667,idle1,0.573200,5.140,-5.732000e-02,-0.573200,-1
1759601762.668,idle1,0.588400,5.132,-5.884000e-02,-0.588400,-1
1759601762.669,idle1,0.576400,5.136,-5.764000e-02,-0.576400,-1
1759601762.670,idle1,0.553400,5.140,-5.534000e-02,-0.553400,-1
1759601762.671,idle1,0.553000,5.140,-5.530000e-02,-0.553000,-1
1759601762.672,idle1,0.571100,5.136,-5.711000e-02,-0.571100,-1
1759601762.673,idle1,0.543100,5.140,-5.431000e-02,-0.543100,-1
1759601762.674,idle1,0.576900,5.144,-5.769000e-02,-0.576900,-1
1759601762.675,idle1,0.551700,5.136,-5.517000e-02,-0.551700,-1
1759601762.676,idle1,0.575200,5.136,-5.752000e-02,-0.575200,-1
1759601762.677,idle1,0.571500,5.140,-5.715000e-02,-0.571500,-1
1759601762.678,idle1,0.548500,5.140,-5.485000e-02,-0.548500,-1
1759601762.679,idle1,0.553800,5.144,-5.538000e-02,-0.553800,-1
1759601762.680,idle1,0.546800,5.144,-5.468000e-02,-0.546800,-1
1759601762.681,idle1,0.575600,5.140,-5.756000e-02,-0.575600,-1
1759601762.682,idle1,0.541900,5.136,-5.419000e-02,-0.541900,-1
1759601762.683,idle1,0.550100,5.144,-5.501000e-02,-0.550100,-1
1759601762.684,idle1,0.572700,5.136,-5.727000e-02,-0.572700,-1
1759601762.685,idle1,0.574000,5.136,-5.740000e-02,-0.574000,-1
1759601762.686,idle1,0.590400,5.132,-5.904000e-02,-0.590400,-1
1759601762.687,idle1,0.541900,5.152,-5.419000e-02,-0.541900,-1
1759601762.688,idle1,0.558700,5.144,-5.587000e-02,-0.558700,-1
1759601762.689,idle1,0.559200,5.140,-5.592000e-02,-0.559200,-1
1759601762.690,idle1,0.546800,5.144,-5.468000e-02,-0.546800,-1
1759601762.691,idle1,0.550900,5.136,-5.509000e-02,-0.550900,-1
1759601762.692,idle1,0.559200,5.144,-5.592000e-02,-0.559200,-1
1759601762.693,idle1,0.731200,5.108,-7.312000e-02,-0.731200,-1
1759601762.694,idle1,0.583000,5.132,-5.830000e-02,-0.583000,-1
1759601762.695,idle1,0.586300,5.132,-5.863000e-02,-0.586300,-1
1759601762.696,idle1,0.543500,5.144,-5.435000e-02,-0.543500,-1
1759601762.697,idle1,0.545200,5.148,-5.452000e-02,-0.545200,-1
1759601762.698,idle1,0.547600,5.144,-5.476000e-02,-0.547600,-1
1759601762.699,idle1,0.553400,5.144,-5.534000e-02,-0.553400,-1
1759601762.700,idle1,0.543500,5.140,-5.435000e-02,-0.543500,-1
1759601762.701,idle1,0.580600,5.132,-5.806000e-02,-0.580600,-1
1759601762.702,idle1,0.604000,5.136,-6.040000e-02,-0.604000,-1
1759601762.703,idle1,0.575200,5.136,-5.752000e-02,-0.575200,-1
1759601762.704,idle1,0.580600,5.148,-5.806000e-02,-0.580600,-1
1759601762.705,idle1,0.541900,5.140,-5.419000e-02,-0.541900,-1
1759601762.706,idle1,0.538200,5.148,-5.382000e-02,-0.538200,-1
1759601762.707,idle1,0.556700,5.136,-5.567000e-02,-0.556700,-1
1759601762.708,idle1,0.543500,5.144,-5.435000e-02,-0.543500,-1
1759601762.709,idle1,0.575600,5.136,-5.756000e-02,-0.575600,-1
1759601762.710,idle1,0.583900,5.132,-5.839000e-02,-0.583900,-1
1759601762.711,idle1,0.616000,5.140,-6.160000e-02,-0.616000,-1
1759601762.712,idle1,0.561600,5.140,-5.616000e-02,-0.561600,-1
1759601762.713,idle1,0.562500,5.144,-5.625000e-02,-0.562500,-1
1759601762.714,idle1,0.546800,5.140,-5.468000e-02,-0.546800,-1
1759601762.715,idle1,0.544800,5.148,-5.448000e-02,-0.544800,-1
1759601762.716,idle1,0.564900,5.140,-5.649000e-02,-0.564900,-1
1759601762.717,idle1,0.554200,5.148,-5.542000e-02,-0.554200,-1
1759601762.718,idle1,0.590400,5.132,-5.904000e-02,-0.590400,-1
1759601762.719,idle1,0.585100,5.136,-5.851000e-02,-0.585100,-1
1759601762.720,idle1,0.573200,5.136,-5.732000e-02,-0.573200,-1
1759601762.721,idle1,0.549700,5.140,-5.497000e-02,-0.549700,-1
1759601762.722,idle1,0.560000,5.144,-5.600000e-02,-0.560000,-1
1759601762.723,idle1,0.543500,5.140,-5.435000e-02,-0.543500,-1
1759601762.724,idle1,0.532800,5.148,-5.328000e-02,-0.532800,-1
1759601762.725,idle1,0.571500,5.140,-5.715000e-02,-0.571500,-1
1759601762.726,idle1,0.566200,5.136,-5.662000e-02,-0.566200,-1
1759601762.727,idle1,0.581000,5.136,-5.810000e-02,-0.581000,-1
1759601762.728,idle1,0.568200,5.136,-5.682000e-02,-0.568200,-1
1759601762.729,idle1,0.555500,5.140,-5.555000e-02,-0.555500,-1
1759601762.730,idle1,0.541900,5.140,-5.419000e-02,-0.541900,-1
1759601762.731,idle1,0.558700,5.140,-5.587000e-02,-0.558700,-1
1759601762.732,idle1,0.559600,5.132,-5.596000e-02,-0.559600,-1
1759601762.733,idle1,0.545200,5.144,-5.452000e-02,-0.545200,-1
1759601762.734,idle1,0.582200,5.140,-5.822000e-02,-0.582200,-1
1759601762.735,idle1,0.579700,5.132,-5.797000e-02,-0.579700,-1
1759601762.736,idle1,0.580600,5.136,-5.806000e-02,-0.580600,-1
1759601762.737,idle1,0.560000,5.136,-5.600000e-02,-0.560000,-1
1759601762.738,idle1,0.541000,5.140,-5.410000e-02,-0.541000,-1
1759601762.739,idle1,0.557500,5.144,-5.575000e-02,-0.557500,-1
1759601762.740,idle1,0.546000,5.144,-5.460000e-02,-0.546000,-1
1759601762.741,idle1,0.560000,5.140,-5.600000e-02,-0.560000,-1
1759601762.742,idle1,0.539800,5.144,-5.398000e-02,-0.539800,-1
1759601762.743,idle1,0.566600,5.136,-5.666000e-02,-0.566600,-1
1759601762.744,idle1,0.580600,5.132,-5.806000e-02,-0.580600,-1
1759601762.745,idle1,0.576400,5.132,-5.764000e-02,-0.576400,-1
1759601762.746,idle1,0.564100,5.140,-5.641000e-02,-0.564100,-1
1759601762.747,idle1,0.550500,5.136,-5.505000e-02,-0.550500,-1
1759601762.748,idle1,0.559600,5.144,-5.596000e-02,-0.559600,-1
1759601762.749,idle1,0.549300,5.140,-5.493000e-02,-0.549300,-1
1759601762.750,idle1,0.538600,5.152,-5.386000e-02,-0.538600,-1
1759601762.751,idle1,0.534900,5.140,-5.349000e-02,-0.534900,-1
1759601762.752,idle1,0.578500,5.136,-5.785000e-02,-0.578500,-1
1759601762.753,idle1,0.595400,5.132,-5.954000e-02,-0.595400,-1
1759601762.754,idle1,0.564900,5.136,-5.649000e-02,-0.564900,-1
1759601762.755,idle1,0.575200,5.136,-5.752000e-02,-0.575200,-1
1759601762.756,idle1,0.554600,5.140,-5.546000e-02,-0.554600,-1
1759601762.757,idle1,0.571900,5.144,-5.719000e-02,-0.571900,-1
1759601762.758,idle1,0.543100,5.136,-5.431000e-02,-0.543100,-1
1759601762.759,idle1,0.536100,5.144,-5.361000e-02,-0.536100,-1
1759601762.760,idle1,0.555500,5.140,-5.555000e-02,-0.555500,-1
1759601762.761,idle1,0.572700,5.140,-5.727000e-02,-0.572700,-1
1759601762.762,idle1,0.597000,5.132,-5.970000e-02,-0.597000,-1
1759601762.763,idle1,0.547600,5.144,-5.476000e-02,-0.547600,-1
1759601762.764,idle1,0.580200,5.140,-5.802000e-02,-0.580200,-1
1759601762.765,idle1,0.550500,5.136,-5.505000e-02,-0.550500,-1
1759601762.766,idle1,0.548500,5.140,-5.485000e-02,-0.548500,-1
1759601762.767,idle1,0.553400,5.136,-5.534000e-02,-0.553400,-1
1759601762.768,idle1,0.538600,5.148,-5.386000e-02,-0.538600,-1
1759601762.769,idle1,0.578900,5.136,-5.789000e-02,-0.578900,-1
1759601762.770,idle1,0.575600,5.140,-5.756000e-02,-0.575600,-1
1759601762.771,idle1,0.575600,5.136,-5.756000e-02,-0.575600,-1
1759601762.772,idle1,0.543500,5.140,-5.435000e-02,-0.543500,-1
1759601762.773,idle1,0.548500,5.144,-5.485000e-02,-0.548500,-1
1759601762.774,idle1,0.553000,5.140,-5.530000e-02,-0.553000,-1
1759601762.775,idle1,0.555900,5.144,-5.559000e-02,-0.555900,-1
1759601762.776,idle1,0.560400,5.136,-5.604000e-02,-0.560400,-1
1759601762.777,idle1,0.561200,5.140,-5.612000e-02,-0.561200,-1
1759601762.778,idle1,0.588800,5.136,-5.888000e-02,-0.588800,-1
1759601762.779,idle1,0.583900,5.132,-5.839000e-02,-0.583900,-1
1759601762.780,idle1,0.545200,5.148,-5.452000e-02,-0.545200,-1
1759601762.781,idle1,0.539400,5.144,-5.394000e-02,-0.539400,-1
1759601762.782,idle1,0.538200,5.144,-5.382000e-02,-0.538200,-1
1759601762.783,idle1,0.549300,5.136,-5.493000e-02,-0.549300,-1
1759601762.784,idle1,0.547200,5.136,-5.472000e-02,-0.547200,-1
1759601762.785,idle1,0.581800,5.136,-5.818000e-02,-0.581800,-1
1759601762.786,idle1,0.567000,5.132,-5.670000e-02,-0.567000,-1
1759601762.787,idle1,0.596200,5.140,-5.962000e-02,-0.596200,-1
1759601762.788,idle1,0.547600,5.136,-5.476000e-02,-0.547600,-1
1759601762.789,idle1,0.548900,5.140,-5.489000e-02,-0.548900,-1
1759601762.790,idle1,0.539400,5.144,-5.394000e-02,-0.539400,-1
1759601762.791,idle1,0.546000,5.144,-5.460000e-02,-0.546000,-1
1759601762.792,idle1,0.564100,5.144,-5.641000e-02,-0.564100,-1
1759601762.793,idle1,0.541500,5.144,-5.415000e-02,-0.541500,-1
1759601762.794,idle1,0.596200,5.132,-5.962000e-02,-0.596200,-1
1759601762.795,idle1,0.569000,5.140,-5.690000e-02,-0.569000,-1
1759601762.796,idle1,0.575200,5.140,-5.752000e-02,-0.575200,-1
1759601762.797,idle1,0.553400,5.132,-5.534000e-02,-0.553400,-1
1759601762.798,idle1,0.540200,5.144,-5.402000e-02,-0.540200,-1
1759601762.799,idle1,0.554200,5.140,-5.542000e-02,-0.554200,-1
1759601762.800,idle1,0.543900,5.144,-5.439000e-02,-0.543900,-1
1759601762.801,idle1,0.568200,5.136,-5.682000e-02,-0.568200,-1
1759601762.802,idle1,0.554200,5.140,-5.542000e-02,-0.554200,-1
1759601762.803,idle1,0.577700,5.144,-5.777000e-02,-0.577700,-1
1759601762.804,idle1,0.564900,5.136,-5.649000e-02,-0.564900,-1
1759601762.805,idle1,0.540200,5.140,-5.402000e-02,-0.540200,-1
1759601762.806,idle1,0.534500,5.136,-5.345000e-02,-0.534500,-1
1759601762.807,idle1,0.537800,5.140,-5.378000e-02,-0.537800,-1
1759601762.808,idle1,0.555000,5.140,-5.550000e-02,-0.555000,-1
1759601762.809,idle1,0.544800,5.136,-5.448000e-02,-0.544800,-1
1759601762.810,idle1,0.539400,5.140,-5.394000e-02,-0.539400,-1
1759601762.811,idle1,0.541500,5.140,-5.415000e-02,-0.541500,-1
1759601762.812,idle1,0.549700,5.144,-5.497000e-02,-0.549700,-1
1759601762.813,idle1,0.536100,5.144,-5.361000e-02,-0.536100,-1
1759601762.814,idle1,0.538200,5.144,-5.382000e-02,-0.538200,-1
1759601762.815,idle1,0.564900,5.136,-5.649000e-02,-0.564900,-1
1759601762.816,idle1,0.544300,5.140,-5.443000e-02,-0.544300,-1
1759601762.817,idle1,0.575200,5.140,-5.752000e-02,-0.575200,-1
1759601762.818,idle1,0.538600,5.140,-5.386000e-02,-0.538600,-1
1759601762.819,idle1,0.546000,5.144,-5.460000e-02,-0.546000,-1
1759601762.820,idle1,0.540200,5.140,-5.402000e-02,-0.540200,-1
1759601762.821,idle1,0.553000,5.140,-5.530000e-02,-0.553000,-1
1759601762.822,idle1,0.550500,5.136,-5.505000e-02,-0.550500,-1
1759601762.823,idle1,0.539400,5.144,-5.394000e-02,-0.539400,-1
1759601762.824,idle1,0.572700,5.140,-5.727000e-02,-0.572700,-1
1759601762.825,idle1,0.546800,5.140,-5.468000e-02,-0.546800,-1
1759601762.826,idle1,0.546400,5.148,-5.464000e-02,-0.546400,-1
1759601762.827,idle1,0.545200,5.140,-5.452000e-02,-0.545200,-1
1759601762.828,idle1,0.541500,5.148,-5.415000e-02,-0.541500,-1
1759601762.829,idle1,0.549300,5.136,-5.493000e-02,-0.549300,-1
1759601762.830,idle1,0.541900,5.140,-5.419000e-02,-0.541900,-1
1759601762.831,idle1,0.555900,5.140,-5.559000e-02,-0.555900,-1
1759601762.832,idle1,0.531200,5.144,-5.312000e-02,-0.531200,-1
1759601762.833,idle1,0.546000,5.144,-5.460000e-02,-0.546000,-1
1759601762.834,idle1,0.547600,5.140,-5.476000e-02,-0.547600,-1
1759601762.835,idle1,0.548900,5.144,-5.489000e-02,-0.548900,-1
1759601762.836,idle1,0.547200,5.136,-5.472000e-02,-0.547200,-1
1759601762.837,idle1,0.541900,5.144,-5.419000e-02,-0.541900,-1
1759601762.838,idle1,0.554200,5.148,-5.542000e-02,-0.554200,-1
1759601762.839,idle1,0.552600,5.148,-5.526000e-02,-0.552600,-1
1759601762.840,idle1,0.572700,5.140,-5.727000e-02,-0.572700,-1
1759601762.841,idle1,0.548500,5.140,-5.485000e-02,-0.548500,-1
1759601762.842,idle1,0.553400,5.144,-5.534000e-02,-0.553400,-1
1759601762.843,idle1,0.550500,5.140,-5.505000e-02,-0.550500,-1
1759601762.844,idle1,0.546400,5.144,-5.464000e-02,-0.546400,-1
1759601762.845,idle1,0.560400,5.136,-5.604000e-02,-0.560400,-1
1759601762.846,idle1,0.546800,5.140,-5.468000e-02,-0.546800,-1
1759601762.847,idle1,0.565300,5.140,-5.653000e-02,-0.565300,-1
1759601762.848,idle1,0.541900,5.140,-5.419000e-02,-0.541900,-1
1759601762.849,idle1,0.535300,5.148,-5.353000e-02,-0.535300,-1
1759601762.850,idle1,0.533600,5.136,-5.336000e-02,-0.533600,-1
1759601762.851,idle1,0.543900,5.140,-5.439000e-02,-0.543900,-1
1759601762.852,idle1,0.557900,5.144,-5.579000e-02,-0.557900,-1
1759601762.853,idle1,0.544300,5.144,-5.443000e-02,-0.544300,-1
1759601762.854,idle1,0.569000,5.144,-5.690000e-02,-0.569000,-1
1759601762.855,idle1,0.547600,5.140,-5.476000e-02,-0.547600,-1
1759601762.856,idle1,0.546800,5.148,-5.468000e-02,-0.546800,-1
1759601762.857,idle1,0.546000,5.140,-5.460000e-02,-0.546000,-1
1759601762.858,idle1,0.535300,5.144,-5.353000e-02,-0.535300,-1
1759601762.859,idle1,0.539400,5.136,-5.394000e-02,-0.539400,-1
1759601762.860,idle1,0.538200,5.144,-5.382000e-02,-0.538200,-1
1759601762.861,idle1,0.569900,5.136,-5.699000e-02,-0.569900,-1
1759601762.862,idle1,0.543500,5.144,-5.435000e-02,-0.543500,-1
1759601762.863,idle1,0.550100,5.140,-5.501000e-02,-0.550100,-1
1759601762.864,idle1,0.550900,5.136,-5.509000e-02,-0.550900,-1
1759601762.865,idle1,0.552600,5.148,-5.526000e-02,-0.552600,-1
1759601762.866,idle1,0.551300,5.132,-5.513000e-02,-0.551300,-1
1759601762.867,idle1,0.535300,5.144,-5.353000e-02,-0.535300,-1
1759601762.868,idle1,0.550900,5.140,-5.509000e-02,-0.550900,-1
1759601762.869,idle1,0.538200,5.140,-5.382000e-02,-0.538200,-1
1759601762.870,idle1,0.570300,5.136,-5.703000e-02,-0.570300,-1
1759601762.871,idle1,0.542300,5.136,-5.423000e-02,-0.542300,-1
1759601762.872,idle1,0.547200,5.140,-5.472000e-02,-0.547200,-1
