ts,phase,amps_A,vbus_V,vshunt_V,amps_raw_A,sign_factor
1759598963.331,idle1,0.490200,5.152,-4.902000e-02,-0.490200,-1
1759598963.431,idle1,0.547800,5.144,-5.478000e-02,-0.547800,-1
1759598963.531,idle1,0.543800,5.144,-5.438000e-02,-0.543800,-1
1759598963.631,idle1,0.501900,5.152,-5.019000e-02,-0.501900,-1
1759598963.731,idle1,0.473900,5.156,-4.739000e-02,-0.473900,-1
1759598963.831,idle1,0.462600,5.156,-4.626000e-02,-0.462600,-1
1759598963.931,idle1,0.461800,5.156,-4.618000e-02,-0.461800,-1
1759598964.031,idle1,0.470800,5.156,-4.708000e-02,-0.470800,-1
1759598964.132,idle1,0.489100,5.152,-4.891000e-02,-0.489100,-1
1759598964.232,idle1,0.480900,5.152,-4.809000e-02,-0.480900,-1
1759598964.332,idle1,0.460600,5.152,-4.606000e-02,-0.460600,-1
1759598964.432,idle1,0.449600,5.160,-4.496000e-02,-0.449600,-1
1759598964.532,idle1,0.450000,5.156,-4.500000e-02,-0.450000,-1
1759598964.632,idle1,0.457500,5.160,-4.575000e-02,-0.457500,-1
1759598964.732,idle1,0.482500,5.156,-4.825000e-02,-0.482500,-1
1759598964.832,idle1,0.479500,5.152,-4.795000e-02,-0.479500,-1
1759598964.933,idle1,0.468700,5.152,-4.687000e-02,-0.468700,-1
1759598965.033,idle1,0.462000,5.152,-4.620000e-02,-0.462000,-1
1759598965.133,idle1,0.469800,5.156,-4.698000e-02,-0.469800,-1
1759598965.233,idle1,0.464300,5.160,-4.643000e-02,-0.464300,-1
1759598965.333,idle1,0.446800,5.160,-4.468000e-02,-0.446800,-1
1759598965.433,idle1,0.457500,5.160,-4.575000e-02,-0.457500,-1
1759598965.533,idle1,0.489400,5.148,-4.894000e-02,-0.489400,-1
1759598965.633,idle1,0.460600,5.156,-4.606000e-02,-0.460600,-1
1759598965.734,idle1,0.540200,5.136,-5.402000e-02,-0.540200,-1
1759598965.834,idle1,0.527300,5.144,-5.273000e-02,-0.527300,-1
1759598965.934,idle1,0.507100,5.148,-5.071000e-02,-0.507100,-1
1759598966.034,idle1,0.460000,5.152,-4.600000e-02,-0.460000,-1
1759598966.134,idle1,0.497800,5.156,-4.978000e-02,-0.497800,-1
1759598966.234,idle1,0.419400,5.160,-4.194000e-02,-0.419400,-1
1759598966.334,idle1,0.415300,5.168,-4.153000e-02,-0.415300,-1
1759598966.435,idle1,0.418200,5.164,-4.182000e-02,-0.418200,-1
1759598966.535,idle1,0.416500,5.164,-4.165000e-02,-0.416500,-1
1759598966.635,idle1,0.418300,5.160,-4.183000e-02,-0.418300,-1
1759598966.735,idle1,0.431500,5.160,-4.315000e-02,-0.431500,-1
1759598966.835,idle1,0.429900,5.164,-4.299000e-02,-0.429900,-1
1759598966.935,idle1,0.410900,5.168,-4.109000e-02,-0.410900,-1
1759598967.035,idle1,0.414400,5.168,-4.144000e-02,-0.414400,-1
1759598967.135,idle1,0.467300,5.160,-4.673000e-02,-0.467300,-1
1759598967.235,idle1,0.465500,5.156,-4.655000e-02,-0.465500,-1
